Timestamp,What is your age?,Gender,Class,City/ Residencial status,City/ Residencial status,City/ Residencial status,City/ Residencial status,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,Some of my Friends think I am hothead,"When people are especially nice to me, I wonder what they want",I tell my friends openly when I disagree with them,"Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often disagree with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
07-11-2023 23:44,20,male,Uni,House,House,House,House,more than 3 hour,more than 2 hour,"Mostly none , I feel good after a hard day",niether disagree nor agree,niether disagree nor agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
07-12-2023 00:06,19,male,12th,delhi,delhi,delhi,delhi,less than 1 hour,less than 1 hour,football ,strongly agree,strongly agree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,yes,no
07-12-2023 00:44,17,male,11th,delhi,delhi,delhi,delhi,less than 1 hour,less than 1 hour,No,strongly disagree,strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Disagree,no,no
07-12-2023 01:21,17,male,12th,uttar pradesh ,uttar pradesh ,uttar pradesh ,uttar pradesh ,more than 1 hour,less than 1 hour,Nothing ,niether disagree nor agree,niether disagree nor agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,no,no
07-12-2023 05:02,17,male,12th,uttar pradesh Pakistan ,uttar pradesh Pakistan ,uttar pradesh Pakistan ,uttar pradesh Pakistan ,less than 1 hour,less than 1 hour,Nothing much,strongly disagree,strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,no,yes
07-12-2023 09:28,18,female,11th,Own,Own,Own,Own,more than 3 hour,less than 1 hour,I feel anger,niether disagree nor agree,niether disagree nor agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,yes,yes
07-12-2023 10:41,19,male,12th,kanpur ,kanpur ,kanpur ,kanpur ,more than 1 hour,less than 1 hour,Aggressive behavior ,strongly disagree,strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,no,yes
07-12-2023 11:22,17,male,11th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 2 hour,less than 1 hour,Feeling superstitious ,disagree,disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,no,yes
07-12-2023 11:32,19,male,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 3 hour,more than 3 hour,Cool Mind ,agree,agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,no,yes
07-12-2023 11:44,17,male,11th,Family,Family,Family,Family,more than 5 hour,more than 5 hour,"Agression, hypertension, losing control on myself",agree,agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
07-12-2023 11:50,19,male,12th,delhi,delhi,delhi,delhi,more than 2 hour,less than 1 hour,Aggressive ,niether disagree nor agree,niether disagree nor agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
07-12-2023 13:09,20,male,Msc,delhi,delhi,delhi,delhi,less than 1 hour,less than 1 hour,No change ,niether disagree nor agree,niether disagree nor agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,yes,no
07-12-2023 14:40,"20, 23",male,14,Chaman,Chaman,Chaman,Chaman,less than 1 hour,less than 1 hour,Mind relaxed and time pass,agree,agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no,no
07-12-2023 14:51,20,male,Bs ,muzaffarnagar,muzaffarnagar,muzaffarnagar,muzaffarnagar,more than 3 hour,less than 1 hour,I can't play ,disagree,disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,no,yes
07-12-2023 14:56,19,male,11th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,less than 1 hour,less than 1 hour,Aggressive ,niether disagree nor agree,niether disagree nor agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,no,yes
07-12-2023 14:57,19,female,12th,ghaziabad,ghaziabad,ghaziabad,ghaziabad,more than 1 hour,more than 1 hour,Little aggression,agree,agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
07-12-2023 15:02,19,male,12th,uttar pradesh DHA ,uttar pradesh DHA ,uttar pradesh DHA ,uttar pradesh DHA ,more than 1 hour,less than 1 hour,Headache ,disagree,disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
07-12-2023 15:02,23,male,MA History ,punjab,punjab,punjab,punjab,less than 1 hour,less than 1 hour,Encourage ,strongly disagree,strongly disagree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,no,yes
07-12-2023 15:02,20,male,BS,karnataka,karnataka,karnataka,karnataka,more than 1 hour,more than 2 hour,I feel confident,strongly disagree,strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
07-12-2023 15:04,18,male,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 2 hour,less than 1 hour,I feel aggressive,niether disagree nor agree,niether disagree nor agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,yes,yes
07-12-2023 15:23,19,male,12th,jammu,jammu,jammu,jammu,more than 1 hour,more than 1 hour,nothigs,niether disagree nor agree,niether disagree nor agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,no,no
07-12-2023 15:33,19,male,12th,uttar pradesh ,uttar pradesh ,uttar pradesh ,uttar pradesh ,more than 2 hour,more than 2 hour,Aggression,niether disagree nor agree,niether disagree nor agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,no,yes
07-12-2023 15:42,19,male,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 1 hour,less than 1 hour,Nill,niether disagree nor agree,niether disagree nor agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,no,yes
07-12-2023 15:42,28 year,female,AM,Student,Student,Student,Student,more than 1 hour,more than 1 hour,"Relax
",niether disagree nor agree,niether disagree nor agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,yes,yes
07-12-2023 15:47,19,male,12th,jammu,jammu,jammu,jammu,less than 1 hour,less than 1 hour,Some experience,agree,agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,no,yes
07-12-2023 15:50,19,female,B.com,jewar ,jewar ,jewar ,jewar ,less than 1 hour,less than 1 hour,Roud,strongly disagree,strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,no,yes
07-12-2023 16:11,17,female,Ets,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,less than 1 hour,less than 1 hour,No,disagree,disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,no,no
07-12-2023 16:23,18,female,12th,jewar,jewar,jewar,jewar,less than 1 hour,less than 1 hour,Don't play violent games,niether disagree nor agree,niether disagree nor agree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,no,yes
07-12-2023 16:39,18,female,12th,uttar pradesh ,uttar pradesh ,uttar pradesh ,uttar pradesh ,less than 1 hour,less than 1 hour,Feeling relaxed ,agree,agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,no,yes
07-12-2023 16:50,19,male,12th,jammu,jammu,jammu,jammu,more than 1 hour,less than 1 hour,Excited,agree,agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,no,yes
07-12-2023 16:55,18,female,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 1 hour,less than 1 hour,Anger increase,niether disagree nor agree,niether disagree nor agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,no,yes
07-12-2023 17:04,24,male,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 2 hour,more than 1 hour,Very good,disagree,disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,yes,yes
07-12-2023 17:42,20,male,12th,sarai kale khan,sarai kale khan,sarai kale khan,sarai kale khan,more than 5 hour,more than 2 hour,Na thing,disagree,disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,no,yes
07-12-2023 18:00,19,male,12th,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,more than 3 hour,more than 2 hour,Liking arms and ammunitions,niether disagree nor agree,niether disagree nor agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,no,no
07-12-2023 18:08,18,male,10th,jammu,jammu,jammu,jammu,less than 1 hour,less than 1 hour,Good ,agree,agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree,yes,no
07-12-2023 19:33,"20, ",male,12th,habibpur,habibpur,habibpur,habibpur,more than 5 hour,more than 5 hour,"Nothing 
",strongly agree,strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,yes,no
07-12-2023 19:46,20,male,13,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,less than 1 hour,less than 1 hour,Time,agree,agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
07-12-2023 19:46,20,male,Bachelors level,uttar pradesh,uttar pradesh,uttar pradesh,uttar pradesh,less than 1 hour,less than 1 hour,I don't experience any change ,agree,agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,no,yes
07-12-2023 19:59,20,female,Bscs ,uttar pradesh ,uttar pradesh ,uttar pradesh ,uttar pradesh ,more than 1 hour,more than 1 hour,Nothing much ??,disagree,disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no,no
